Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-CV-6961-11A-01R-1915-07	0.00728130627442739	0	0.0017505368082878	0.144180227282023	0	0.0473176187128693	0	0.139243545000859	0	0	0.0233569542122402	0	0.0818515615889889	0	0.0563443035830855	0.101426690085827	0.170567971060488	0.123109236252541	0.0629051139562577	0	0	0.0406649351821052	0.215	0.0577654790969781	1.05470944782164
TCGA-CV-6936-11A-01R-1915-07	0.0680434266248082	0	0.0191932297392411	0.138503151501462	0	0.150774991552297	0.0353063810299933	0.062344144810342	0.0114062135148817	0	0	0.0324935486259278	0.0148008629094245	0	0.0624236264727193	0.201430835681514	0.108305548051004	0	0.00786185482340521	0.0719718289610587	0	0.0151403557019206	0.039	0.179972671148308	1.00753298001675
TCGA-CV-7425-11A-01R-2081-07	0.0533388360284054	0	0.00992012191234616	0.141141643062291	0	0.0904664780934772	0.0773569648106096	0.0681142405069667	0.0655466548936759	0	0	0.0250015222330203	0.0122713348922984	0.0523330848229219	0.110163262778316	0.0592876168059197	0.0924154290612485	0.000641714128434047	0.130068389663021	0	0	0.011932706307048	0.047	0.159718217005439	1.01583254489363
TCGA-CV-6959-11A-01R-1915-07	0.016398261145173	0	0	0.198507311994516	0	0.126693218190184	0	0.0701364717687017	0.0682297700833324	0	0	0.056254101230661	0.0186700088698564	0.028776232877112	0.196911302197243	0.0428743407965132	0.0952384948094254	0	0.0813104860372816	0	0	0	0.005	0.373042270273694	0.935545492915709
TCGA-CV-6955-11A-01R-2016-07	0.163220824503616	0	0.0315026506544173	0.103697916574506	0	0.163853745776306	0.0272492026399121	0.0803968991446042	0.0659733991092561	0	0	0.0161120287976774	0.00475445242110216	0.0720102807044915	0.0988559189518664	0.0222359647664647	0.0806571543886023	0.000156751801724054	0.0570683001283406	0	0	0.0122545096371125	0.017	0.246623239693028	0.986066580356099
TCGA-CV-7242-11A-01R-2016-07	0.0724079904796812	0	0.0164035451614588	0.0862643523180077	0	0.234031512873686	0.0474761608597884	0.031354289714208	0.0215865573481038	0	0.01020076058162	0	0.0187634889949496	0	0.0812500650696583	0.133929718271251	0.197118393685915	0	0.0382145052391152	0	0	0.0109986594025577	0.0620000000000001	0.140794486196628	1.02140066428166
TCGA-CV-7178-11A-01R-2016-07	0.248274250430871	0	0.0741455030254391	0.154571596800065	0	0.069990601848344	0	0.0211350387440634	0.0569892010986595	0	0	0.035296619888645	0.0161831624464401	0.0459790279808521	0.031704948308459	0	0.138244887890156	0	0.107485161538006	0	0	0	0.00800000000000001	0.337023966778594	0.947740470234414
TCGA-CV-6960-11A-01R-2016-07	0.0264090186323127	0	0.0100561534622913	0.0489962773555283	0	0.121765439975673	0.00783298513440065	0.0361637555332757	0.0265523818516764	0	0.038752487578137	0.00506171097456208	0.00815319027502221	0	0.0176698790175865	0.247838442080316	0.191970627641179	0.0153412991852796	0.160388868778351	0	0	0.0370474825244083	0.102	0.10328610993453	1.03182519353909
TCGA-WA-A7GZ-11A-11R-A34R-07	0	0	0	0.0993414989111145	0	0.178056209142745	0.0147816500414545	0.0363207882171878	0	0.00591774641455091	0.0220220938492957	0	0	0	0	0.149509820199201	0.299084055241593	0.0760636521594511	0.115077874347515	0.00382461147589189	0	0	0.783	-0.0193574741615427	1.08621919172233
TCGA-CV-6938-11A-01R-1915-07	0.0426135721151389	0	0.00204853077577331	0.00808261013709688	0	0.0989752473584495	0.00231526800800123	0.0780776187529156	0.00444572404344721	0	0	0.0539651243847268	0.0225245970368959	0.0448363303101256	0.0274028185890534	0.273566936838313	0.0658023245281601	0.00993702509110921	0.183196250484525	0	0	0.0822100215462681	0.159	0.0792175247804016	1.04465143439926
TCGA-CV-7437-11A-01R-2132-07	0.202741211936948	0	0.164237649568329	0.107835599647749	0	0.0991794552594756	0	0.0603765531381845	0.0782307619735565	0	0.0311796414412095	0	0.0173124292408549	0.0196723258168262	0.0366620701335754	0.0568464979818724	0.103672369446481	0	0.00543866662022229	0	0.00611391431915397	0.0105008534755625	0.004	0.415944117509774	0.912407580102786
TCGA-H7-A6C4-11A-21R-A466-07	0.0387059157793929	0	3.61891623739224e-05	0.218552195795475	0	0.119294696698918	0.0239413648286346	0.121495999357584	0.0362420228138813	0	0	0.0486239796225195	0.0106187496193483	0	0.0366247921235053	0.0135219426525633	0.210084330019543	0.0274037359399338	0	0.075434936924562	0.0153717920816363	0.00404735658012886	0.0659999999999999	0.134845812324517	1.0407663793804
TCGA-CV-7432-11A-01R-2132-07	0.14751881981102	0	0.112266349784559	0.0562571026182536	0	0.118806943779998	0	0.0302280585339099	0.0473204300284453	0	0	0.0422741940784667	0.0457456570046551	0.169738227658763	0.0613864752457983	0.077249286034581	0.0809604998631903	0	0.0082937921288983	0	0.001954163429462	0	0.00800000000000001	0.317658445561452	0.954381105856695
TCGA-CV-6956-11A-01R-2016-07	0	0.00610865243870928	0.00284913046430024	0.185700585816869	0	0.222996525367362	0.106860269587488	0.085077007484808	0.0111104577597395	0.00769745020910974	0.00602300118000049	0	0	0.140338823913285	0.073703234599872	0.0461913758001258	0.0461235960269689	0.0284296532505469	0.017155875266359	0	0	0.0136343608344572	0.071	0.128711401382568	1.04641232964288
TCGA-CV-7097-11A-01R-2016-07	0.113961679958045	0	0.24720455919591	0.0863099886394385	0	0.0588042396105713	0.0151042036072514	0.014501924681832	0.0241836603062539	0	0	0.00716171529731009	0.0606026798121947	0.0496844792134996	0.036367519932604	0.180270928261909	0.00880702267666323	0	0	0.0887909450639095	0	0.00824445374260794	0.004	0.427959937368987	0.906811211857051
TCGA-HD-8635-11A-01R-2403-07	0.0102924986851496	0	0.00876266092732688	0.173888519221999	0	0.269665911572371	0.142311879822756	0.0703638108795706	0.0691389430768623	0	0.024554491949679	0.0082629575004366	0.02064710910428	0.0313864745528445	0.081447543596291	0.0245745356948233	0.0196163238772861	0	0.027881455495948	0	0	0.0172048840423762	0.005	0.375681286277348	0.935163776503522
TCGA-CV-7183-11A-01R-2016-07	0	0	0.000913454202643965	0.194972980355707	0	0.26358102453719	0.0285158192875878	0.00621496704065899	0.00250951254018916	0.0168844098580163	0	0	0.0165427509788209	0	0.00268765433446739	0.106621508593216	0.27328453398378	0.05089004035335	0.0363813439343728	0	0	0	0.507	0.00462876053584876	1.09142638574537
TCGA-CV-7250-11A-01R-2016-07	0.126218274271702	0	0.0129562638142093	0.105110163004574	0	0.327289756736933	0.0215285516022906	0.0876161127203297	0.0520258672754974	0	0	0	0.00891360460322385	0.0149639292072714	0.10601060883517	0.0375912386648531	0.0561488357728219	0	0.0389488626792178	0	0.000609675723126751	0.00406825508877933	0.037	0.188609907402291	1.02536423869564
TCGA-HD-A6HZ-11A-11R-A31N-07	0	0.00115442766048465	0	0.114687115812438	0	0.0844871645035979	0.0351024436433223	0.0181696819277647	0	0	0.0182165090601522	0.00247427035911918	0.000749678588917415	0	0.000123793265085171	0.227506198226056	0.279181060307719	0.0154371968754798	0.19639447319323	0	0	0.00631598657663318	0.174	0.0719783722286931	1.0518376705707
TCGA-CV-6962-11A-01R-1915-07	0.0477292600993012	0	0.0441221949769195	0.174813280924889	0	0.140783400735772	0	0.0697306440451814	0.0234371912678786	0	0	0.0353964120701165	0	0.00885225067526927	0.0724688263940827	0.193120901526785	0.140929220758438	0	0.0486164165253655	0	0	0	0.069	0.132227882457045	1.028447206603
TCGA-CV-7235-11A-01R-2016-07	0.142708611043208	0	0.121396116001463	0.0398901506458826	0	0.173484535510192	0.0206366762714281	0.0284055186030121	0.0485666123011456	0	0.0239767114683331	0	0.014183975807679	0.0658386413070097	0.0564991881001689	0.177355719257438	0.0444985238424213	0	0.0311862598582337	0	0	0.011372759982385	0.00600000000000001	0.356780947915638	0.935822974267999
TCGA-H7-A6C5-11A-11R-A30B-07	0.256993746393749	0	0.179415598071272	0	0	0.104296786506296	0.0203184546953992	0.0877034246080764	0.0356041616222208	0	0.0480695103294462	0	0.0085398610939941	0	0.017118960834976	0.130809116500834	0.00519021877615159	0.0240308138823138	0.0761288522350383	0	0	0.00578049445023258	0.003	0.461832446535771	0.888242110335305
TCGA-CV-7177-11A-01R-2016-07	0.103370621092734	0	0.0639522937901292	0.105849476092007	0	0.142238179303805	0.0645168718954009	0.0441488329645947	0	0	0.0657961489315302	0	0	0.0753516272342743	0.0191695228095603	0.074278484699458	0.0858019423336221	0.0959409729032957	0.0595850259495889	0	0	0	0.044	0.170793161899087	1.00833353260992
TCGA-CV-7416-11A-01R-2081-07	0	0	0.00274092363846078	0.0782580852160744	0	0.286480572292078	0.027711074402076	0.0475922814936345	0.022451601300914	0	0.0212390702191507	0	0.0302164842770613	0.0485621665949062	0	0	0.181309724142086	0.206284944584817	0.0172461739521609	0.0147778168463272	0	0.0151290810402539	0.265	0.0422897347045735	1.0776471230046
TCGA-CV-7406-11A-01R-2081-07	0.109177908337676	0	0.0636302210995624	0.0560284463239636	0	0.266877755774357	0	0.0955582622766575	0	0	0	0	0.0392849431159399	0.0091757386358048	0	0	0.00896049842625039	0.178111571205111	0	0.147264324966857	0.0221450666644729	0.0037852631733475	0.033	0.203091472166202	1.00911882321171
TCGA-CV-6934-11A-01R-1915-07	0.137085433838792	0	0.10789611779241	0.193338741888196	0	0.173156231415296	0.0715000177379701	0.0451642862621964	0.0419969090557008	0	0.052366325668532	0	0.00681938068677033	0.0209227321524084	0.0623446006297347	0.0310824257799241	0	0.0313203955962976	0.0162699045664352	0	0	0.00873649692933683	0.00900000000000001	0.29603994640957	0.973911991566363
TCGA-CV-7238-11A-01R-2016-07	0.150594082029868	0	0.205235603020408	0.0675057636708854	0	0.255450491831305	0.00351223184627082	0.00904442766900585	0.0601918290982632	0	0.0177933386374667	0	0.0167781449875777	0	0	0.0346212305435199	0.0968383844104313	0.064686192738933	0.00885503950788815	0.00889324000817746	0	0	0.005	0.395859150137207	0.925303775814513
TCGA-CV-6933-11A-01R-1915-07	0.172106582473718	0	0.306745816882641	0.204238999986754	0	0.0468632983816232	0	0.0345981077127142	0.0270096358842643	0	0	0.0707122780405662	0.0161670272955785	0.0414553365288219	0.0252259769139169	0.0153574229131973	0	0.00303256997082264	0.0308231940136228	0	0.00566375300175865	0	0.004	0.4342377667227	0.923005978849409
TCGA-CV-7434-11A-01R-2132-07	0.0586317766095441	0	0.105056809650261	0.076332898071056	0	0.0861997989768493	0	0.0821444457611076	0.0400829972779568	0.0244108026235199	0	0.0181292499598402	0.0404191547271573	0.0372453782797682	0.124792724030218	0.166603857673936	0.0545757412385698	0.0233836857229297	0.0551279717416099	0	0	0.00686270765567577	0.02	0.236466860477188	0.986629199877941
